activity_group_code,region,district,community,ngo,hazard,activities,number_of_activities_or_unites,beneficiaries_per_activity,budget__usd,brics_output,_2014_quarter_3,_2014_quarter_4,_2015_quarter_1,_2015_quarter_2,_2015_quarter_3,_2015_quarter_4,_2016,_2017,district_id
29,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DROUGHT,Develop and implement Operational Maintenance Plan for each water source,1,150,540,2,f,f,t,f,f,f,t,t,2308
62,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2308
62,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2308
62,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2308
62,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2308
30,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,DISEASE,Develop Solid Waste Management system,1,900,7500,2,f,f,f,f,f,t,f,f,2208
31,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HUNGER/LOW INCOME,Provide counselling on GBV and link to service-providers for victims,1,50,3750,1,f,t,t,t,t,t,f,f,2205
62,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2308
31,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HUNGER/LOW INCOME,Provide counselling on GBV and link to service-providers for victims,1,100,3750,1,f,t,t,t,t,t,f,f,2208
62,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2308
8,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,1443,1000,4,f,f,t,t,t,t,t,t,2302
5,BAY,BAYDHABA,BONKAI,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2401
5,JUBA HOOSE,KISMAAYO,FARJANNO,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2801
5,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2801
5,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2801
13,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,DROUGHT,Distribution of Unconditional Cash  ,9,100,63000,4,t,t,f,t,f,t,t,t,2801
8,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DISEASE,Carry out IYCF promotion and counselling at household and community level,1,512,1000,4,f,f,t,t,t,t,t,t,2302
14,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,FLOOD,River bank strengthening through CfW,5,701,5000,4,f,f,t,f,t,f,t,f,2302
14,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,FLOOD,River bank strengthening through CfW,10,1443,10000,4,f,f,t,f,t,f,t,f,2302
5,BAY,BAYDHABA,BERDAALE,NRC,FLOOD,Construction of latrines,30,30,22500,2,f,f,t,t,f,f,f,f,2401
62,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2302
14,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,1443,7000,4,f,f,f,f,t,f,f,f,2302
33,HIRAAN,BELET WEYNE,GARASH,CESVI,FLOOD,Farm Land preparation ,80Farms,80,5000,4,f,f,t,t,f,f,f,f,2001
35,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,CONFLICT,Provision of shelter packages to conflict affected HHs,2,100,10001,3,f,f,t,f,t,f,f,f,2212
33,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,150,150,12000,4,f,t,f,t,f,t,f,f,2308
35,BANADIR,DEYNILE,KUR DAMAC,SCI,DROUGHT,Provision of NFI kits to conflict and drought affected HHs,2,200,20001,3,f,t,f,t,f,f,f,f,2216
35,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,DISEASE OUTBREAK,Provision of NFI kits to conflict affected HHs,2,100,6000,3,f,t,f,t,f,f,f,f,2212
33,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,100,100,8000,4,f,t,f,t,f,t,f,f,2308
33,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,150,150,12000,4,f,t,f,t,f,t,f,f,2308
33,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,100,100,8000,4,f,t,f,t,f,t,f,f,2308
33,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,100,100,8000,4,f,t,f,t,f,t,f,f,2308
35,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,CONFLICT,Provision of hygiene and Sanitation Kits to the hygeine volunteers,2,200,3399,3,f,f,t,t,f,f,f,f,2212
33,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,150,150,12000,4,f,t,f,t,f,t,f,f,2308
35,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,FIRE,Provide alternative cooking technology / Fuel efficient stoves,50,50,2500,3,f,f,f,f,t,f,f,f,2205
33,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,250,250,20000,4,f,t,f,t,f,t,f,f,2308
5,MUDUG,GAALKACYO,WARGALO,CESVI,DROUGHT,Consruction of family share latrines,30 Latrines,40,9000,2,f,f,f,f,f,f,f,t,1801
5,MUDUG,GAALKACYO,HOWL WADAAG,CESVI,DROUGHT,Consruction of family share latrines,60 Latrines,240,18000,2,f,f,f,f,f,f,f,t,1801
5,MUDUG,GAALKACYO,DOCOL,CESVI,DROUGHT,Consruction of family share latrines,30 Latrines,120,9000,2,f,f,f,f,f,f,f,t,1801
5,MUDUG,GAALKACYO,DHUURE,CESVI,DROUGHT,Consruction of family share latrines,20 Latrines,80,6000,2,f,f,f,f,f,f,f,t,1801
6,MUDUG,GAALKACYO,BITALE,IRC,DROUGHT,Community Sensitization; planning and training,6,400,12177,1,f,f,f,t,t,t,t,t,1801
6,MUDUG,GAALKACYO,BANDARQAALI,IRC,DROUGHT,Community Sensitization; planning and training,6,600,12177,1,f,f,f,t,t,t,t,t,1801
7,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DROUGHT,Carry out Geological Surveys to find underground water,1,0,5000,2,f,t,f,f,f,f,f,f,2603
7,GEDO,BELET XAAWO,BELET HAWA TOWN (SOUTH),CWW,DROUGHT,Carry out Geological Surveys to find underground water,1,0,5000,2,f,t,f,f,f,f,f,f,2603
7,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Carry out Geological Surveys to find underground water,1,0,5000,2,f,t,f,f,f,f,f,f,2604
7,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Carry out Geological Surveys to find underground water,1,0,5000,2,f,t,f,f,f,f,f,f,2604
33,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DROUGHT,Provision of farm inputs - seeds (diverse crops) and tools if needed,125,125,10000,4,f,t,f,t,f,t,f,f,2302
35,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2302
35,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2302
35,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,100,1000,3,f,t,f,f,f,t,f,f,2302
38,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,DROUGHT,Farmer Field Schools,4,100,16000,4,f,f,t,f,f,f,t,t,2302
38,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DROUGHT,Farmer Field Schools,6,150,24000,4,f,f,t,f,f,f,t,t,2302
38,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DROUGHT,Farmer Field Schools,5,125,20000,4,f,f,t,f,f,f,t,t,2302
38,BAY,BAYDHABA,HAWL WADAAG,NRC,DROUGHT,Training on GAPs,3,50,3300,4,f,f,t,f,f,f,t,t,2401
38,BAY,BAYDHABA,BONKAI,NRC,DROUGHT,Training on GAPs,3,50,3300,4,f,f,t,f,f,f,t,t,2401
38,BAY,BAYDHABA,BERDAALE,NRC,DROUGHT,Training on GAPs,3,50,3300,4,f,f,t,f,f,f,t,t,2401
3,MUDUG,GAALKACYO,DHUURE,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,200,1500,2,f,t,f,f,f,t,t,t,1801
35,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2308
35,BANADIR,BANADIR,DAGAH TUR,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,
35,BANADIR,BANADIR,SACID RORAYE,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,
35,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,FLOOD,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2308
13,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Unconditional cash transfers,60 HHs/3mths,60,18000,4,f,t,f,f,f,f,f,f,1803
13,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Unconditional Cash Distribution,9,100,63000,4,t,t,f,t,f,t,t,t,2606
13,MUDUG,HOBYO,LABAD,IRC,DROUGHT,Implementation of cash transfer (unconditional),3,63,61000,4,f,f,f,f,f,t,t,t,1803
13,MUDUG,HOBYO,HOBYO TOWN,IRC,DROUGHT,Implementation of cash transfer (unconditional),3,869,61000,4,f,f,f,f,f,t,t,t,1803
13,MUDUG,HOBYO,BAJELA,IRC,DROUGHT,Implementation of cash transfer (unconditional),3,290,61000,4,f,f,f,f,f,t,t,t,1803
13,MUDUG,JARIIBAN,HINGOD,IRC,DROUGHT,Implementation of cash transfer (unconditional),3,193,61000,4,f,f,f,f,f,t,t,t,1804
13,MUDUG,JARIIBAN,BUDBUD,IRC,DROUGHT,Implementation of cash transfer (unconditional),3,290,61000,4,f,f,f,f,f,t,t,t,1804
13,BAY,BAYDHABA,HAWL WADAAG,NRC,DROUGHT,Unconditional Cash Distribution,9,50,63500,4,t,t,f,t,f,t,t,t,2401
13,BAY,BAYDHABA,BONKAI,NRC,DROUGHT,Unconditional Cash Distribution,9,100,63000,4,t,t,f,t,f,t,t,t,2401
13,MUDUG,GAALKACYO,WARGALO,CESVI,DROUGHT,Unconditional cash transfers,60 HHs/3mths,60,18000,4,f,t,f,f,f,f,f,f,1801
13,MUDUG,GAALKACYO,HOWL WADAAG,CESVI,DROUGHT,Unconditional cash transfers,90 HHs/3mths,90,27000,4,f,t,f,f,f,f,f,f,1801
13,MUDUG,GAALKACYO,GALINSOOR,CESVI,DROUGHT,Unconditional cash transfers,70 HHs/3mths,70,21000,4,f,t,f,f,f,f,f,f,1801
13,MUDUG,GAALKACYO,DOCOL,CESVI,DROUGHT,Unconditional cash transfers,60 HHs/3mths,60,18000,4,f,t,f,f,f,f,f,f,1801
13,MUDUG,GAALKACYO,DHUURE,CESVI,DROUGHT,Unconditional cash transfers,30 HHs/3mths,30,9000,4,f,t,f,f,f,f,f,f,1801
13,MUDUG,GAALKACYO,BANDIIRADLEY,CESVI,DROUGHT,Unconditional cash transfers,70 HHs/3mths,70,21000,4,f,t,f,f,f,f,f,f,1801
13,MUDUG,GAALKACYO,BITALE,IRC,DROUGHT,Implementation of cash transfer (unconditional),3,193,61000,4,f,f,f,f,f,t,t,t,1801
13,GEDO,BELET XAAWO,MALKARIYEY,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,130,130,234000,4,t,f,f,t,t,f,t,f,2603
35,GEDO,CEEL WAAQ,TUULO GARAS,CWW,CONFLICT,Procurement of NFI kits,50,50,2250,3,t,f,f,f,f,f,f,f,2604
35,GEDO,LUUQ,LUUQ-GODEY,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2606
3,MUDUG,GAALKACYO,BANDIIRADLEY,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,400,3000,2,f,t,f,f,f,t,t,t,1801
13,MUDUG,GAALKACYO,BANDARQAALI,IRC,DROUGHT,Implementation of cash transfer (unconditional),3,290,61000,4,f,f,f,f,f,t,t,t,1801
61,MUDUG,GAALKACYO,BITALE,IRC,DROUGHT,Community Animal Health Workers Training and Market Development,3,100,29583,4,f,f,f,f,t,t,t,t,1801
61,MUDUG,GAALKACYO,BANDARQAALI,IRC,DROUGHT,Community Animal Health Workers Training and Market Development,3,200,29583,4,f,f,f,f,t,t,t,t,1801
62,GEDO,BELET XAAWO,HAROODI,CWW,DROUGHT,Tree planting,50,50,1500,4,f,f,f,f,f,t,f,f,2603
3,HIRAAN,BELET WEYNE,QARSONE,SCI,DROUGHT,Campaign to improve hygiene and sanitation practice ,2,90,2000,2,f,f,t,f,f,f,f,f,2001
3,HIRAAN,BELET WEYNE,MACRUF,SCI,DROUGHT,Campaign to improve hygiene and sanitation practice ,2,90,2000,2,f,f,t,f,f,f,f,f,2001
35,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,500,3000,3,f,t,f,f,f,t,f,f,2205
35,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,DISEASE,Procure and maintain a contingency stock of ORS; Aquatabs; Chlorine ,1,500,3000,3,f,t,f,f,f,t,f,f,2208
35,BANADIR,HAMARWEINE,HORSEED,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2201
35,BANADIR,HAMARWEINE,HILAAC,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,2201
35,BANADIR,BANADIR,OCTOBER,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,
35,BANADIR,BANADIR,HALANE,NRC,FLOOD,Distribution soaps,3,300,900,3,f,f,t,f,f,f,t,t,
13,GEDO,BELET XAAWO,HAROODI,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,120,120,216000,4,t,f,f,t,t,f,t,f,2603
13,GEDO,BELET XAAWO,GAWIIDO,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,120,120,216000,4,t,f,f,t,t,f,t,f,2603
13,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,120,120,216000,4,t,f,f,t,t,f,t,f,2604
13,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,100,100,180000,4,t,f,f,t,t,f,t,f,2604
13,GEDO,CEEL WAAQ,MERI,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,90,90,162000,4,t,f,f,t,t,f,t,f,2604
13,GEDO,CEEL WAAQ,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,120,120,216000,4,t,f,f,t,t,f,t,f,2604
13,GEDO,CEEL WAAQ,DHAMASA,CWW,DROUGHT,Unconditional lean season cash transfer for extremely vulnerable families,200,200,360000,4,t,f,f,t,t,f,t,f,2604
13,GEDO,LUUQ,LUUQ-GODEY,NRC,DROUGHT,Distribution of Unconditional Cash,9,50,31500,4,t,t,f,t,f,t,t,t,2606
35,GEDO,LUUQ,LUUQ-GODEY,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,2606
35,GEDO,LUUQ,JAZEERA (ALL),NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,2606
35,GEDO,LUUQ,AL-CADAALA (Only),NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,2606
3,HIRAAN,BELET WEYNE,JAWIL,SCI,DROUGHT,Campaign to improve hygiene and sanitation practice ,2,90,2000,2,f,f,t,f,f,f,f,f,2001
37,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DROUGHT,Donkey cart provision,20,20,8000,4,f,f,f,t,f,f,f,f,2604
37,GEDO,CEEL WAAQ,TUULA CADEY,CWW,DROUGHT,Donkey cart provision,10,10,4000,4,f,f,f,t,f,f,f,f,2604
37,GEDO,CEEL WAAQ,MERI,CWW,DROUGHT,Donkey cart provision,10,10,4000,4,f,f,f,t,f,f,f,f,2604
37,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Donkey cart provision,20,20,8000,4,f,f,f,t,f,f,f,f,2604
37,GEDO,CEEL WAAQ,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Donkey cart provision,10,10,4000,4,f,f,f,t,f,f,f,f,2604
37,GEDO,CEEL WAAQ,DHAMASA,CWW,DROUGHT,Donkey cart provision,10,10,4000,4,f,f,f,t,f,f,f,f,2604
40,MUDUG,HOBYO,BAJELA,IRC,DROUGHT,Women's savings and livelihoods groups,3,45,12201,4,f,f,f,f,t,t,t,t,1803
3,HIRAAN,BELET WEYNE,ILKACADO,SCI,DROUGHT,Campaign to improve hygiene and sanitation practice ,2,40,1500,2,f,f,t,f,f,f,f,f,2001
3,HIRAAN,BELET WEYNE,HARCADEY,SCI,DROUGHT,Campaign to improve hygiene and sanitation practice ,2,40,2000,2,f,f,t,f,f,f,f,f,2001
3,HIRAAN,BELET WEYNE,GURICADE,SCI,DROUGHT,Campaign to improve hygiene and sanitation practice ,1,125,2000,2,f,f,t,f,f,f,f,f,2001
3,HIRAAN,BELET WEYNE,SHINILE ,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,80,2000,2,f,t,f,f,f,t,t,t,2001
3,HIRAAN,BELET WEYNE,QOYDO,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,150,2000,2,f,t,f,f,f,t,t,t,2001
41,JUBA HOOSE,KISMAAYO,FAANOOLE,NRC,DROUGHT,Refresher training for Water Management Committees ,1,10,1500,2,f,f,f,f,f,t,f,t,2801
41,JUBA HOOSE,KISMAAYO,CALANLEY,NRC,DROUGHT,Refresher training for Water Management Committees ,1,10,1500,2,f,f,f,f,f,t,f,t,2801
41,GEDO,DOOLOW,QANSAXLEY,NRC,DROUGHT,Refresher training for Water Management Committees ,1,10,1500,2,f,f,f,f,f,t,f,t,2605
41,GEDO,DOOLOW,KAPASA,NRC,DROUGHT,Refresher training for Water Management Committees ,2,10,1500,2,f,f,f,f,f,t,f,t,2605
41,GEDO,DOOLOW,GEEDWEINE,NRC,DROUGHT,Refresher training for Water Management Committees,1,10,1500,2,f,f,f,f,f,t,f,t,2605
35,BANADIR,HAMARWEINE,HORSEED,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,2201
35,BANADIR,HAMARWEINE,HILAAC,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,2201
35,BANADIR,HAMARJAJAB,WAJEER (BUUR KAROOLE),CWW,HEAVY RAINS,Distribution of plastic sheets,100,100,1350,3,t,f,f,f,f,f,f,f,2205
35,BANADIR,KARAAN,MOHAMUD AHMED ALI (BULA HANSHOLEY),CWW,HEAVY RAINS,Distribution of plastic sheets,200,200,2700,3,t,f,f,f,f,f,f,f,2208
35,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Distribution of hygeine kits & sanitation tools,2,200,3399,3,f,f,t,t,f,f,f,f,2216
35,BANADIR,BANADIR,OCTOBER,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,
37,BANADIR,HAMARWEINE,HORSEED,NRC,FLOOD,Provision of donkey and  cart pulls,30,30,30000,4,f,t,f,f,f,t,t,f,2201
35,BANADIR,BANADIR,SACID RORAYE,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,
35,BANADIR,BANADIR,DAGAH TUR,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,
35,BANADIR,BANADIR,AHMED GUREY,SCI,DISEASE OUTBREAK,Distribution of hygiene and Sanitation Kits,2,200,3399,3,f,f,f,t,f,f,f,f,
37,BANADIR,BANADIR,OCTOBER,NRC,FLOOD,Provision of donkey and  cart pulls,30,30,30000,4,f,t,f,f,f,t,t,f,
35,BANADIR,BANADIR,HALANE,NRC,FLOOD,Distribution of water treatment drugs-aquatabs,3,300,900,3,f,f,t,f,f,f,t,t,
37,BANADIR,BANADIR,SACID RORAYE,NRC,FLOOD,Provision of donkey and  cart pulls,30,30,30000,4,f,t,f,f,f,t,t,f,
38,SHABELLE HOOSE,AWDAGHLE,MARERE,CWW,DROUGHT,Farmer Field Schools,4,100,16000,4,f,f,t,f,f,f,t,t,2308
37,BANADIR,HAMARWEINE,HILAAC,NRC,FLOOD,Provision of donkey and  cart pulls,30,30,30000,4,f,t,f,f,f,t,t,f,2201
38,SHABELLE HOOSE,AWDAGHLE,MUBARAK,CWW,DROUGHT,Farmer Field Schools,6,150,24000,4,f,f,t,f,f,f,t,t,2308
38,SHABELLE HOOSE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,DROUGHT,Farmer Field Schools,6,150,24000,4,f,f,t,f,f,f,t,t,2308
38,SHABELLE HOOSE,AWDAGHLE,GUMAYSIDID,CWW,DROUGHT,Farmer Field Schools,4,100,16000,4,f,f,t,f,f,f,t,t,2308
37,BANADIR,BANADIR,DAGAH TUR,NRC,FLOOD,Provision of donkey and  cart pulls,30,30,30000,4,f,t,f,f,f,t,t,f,
38,SHABELLE HOOSE,AWDAGHLE,BALOW,CWW,DROUGHT,Farmer Field Schools,4,100,16000,4,f,f,t,f,f,f,t,t,2308
38,SHABELLE HOOSE,AWDAGHLE,AY-BUTAY,CWW,DROUGHT,Farmer Field Schools,6,150,24000,4,f,f,t,f,f,f,t,t,2308
38,SHABELLE HOOSE,AWDAGHLE,AWDAGHLE TOWN,CWW,DROUGHT,Farmer Field Schools,10,250,40000,4,f,f,t,f,f,f,t,t,2308
13,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Conditional cash tansfers,70 individuals,70,10500,4,f,t,t,t,f,f,f,f,1803
13,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Conditional cash tansfers,70 individuals,70,10500,4,f,t,t,t,f,f,f,f,1803
13,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Conditional cash tansfers,100 individuals,100,15000,4,f,t,t,t,f,f,f,f,1803
14,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Road rehabilation through cash for work (KM),3.5,14,3500,4,f,f,f,f,f,t,t,f,2604
14,GEDO,CEEL WAAQ,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Road rehabilation through cash for work (KM),3.5,14,3500,4,f,f,f,f,f,t,t,f,2604
41,GEDO,DOOLOW,SUR-GUDUD,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2605
41,GEDO,LUUQ,LUUQ-GODEY,NRC,DROUGHT,Refresher training for Water Management Committees ,1,10,1500,2,f,f,f,f,f,t,f,t,2606
41,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Refresher training for Water Management Committees ,1,10,1500,2,f,f,f,f,f,t,f,t,2606
41,GEDO,LUUQ,LUUQ-GODEY,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2606
41,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2606
41,GEDO,DOOLOW,QANSAXLEY,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2605
41,GEDO,DOOLOW,KAPASA,NRC,DROUGHT,Formation and training water management committees,1,10,2000,2,f,t,f,f,f,f,f,f,2605
40,SHABELLE HOOSE,AFGOOYE,MORDINLE,CWW,DROUGHT,Self Help Groups,9,90,34500,4,f,f,t,f,f,t,t,f,2302
40,SHABELLE HOOSE,AFGOOYE,BELETAMIN,CWW,DROUGHT,Self Help Groups,12,120,45000,4,f,t,f,f,f,t,t,f,2302
40,SHABELLE HOOSE,AFGOOYE,AANOLE,CWW,DROUGHT,Self Help Groups,9,90,34500,4,f,f,t,f,f,f,f,f,2302
3,HIRAAN,BELET WEYNE,GARASH,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,80,1500,2,f,t,f,f,f,t,t,t,2001
3,HIRAAN,BELET WEYNE,DHAYWABAR,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,40,1500,2,f,t,f,f,f,t,t,t,2001
3,HIRAAN,BELET WEYNE,BUULO YAKUB,CESVI,DROUGHT,Awareness campaigns on sanitation; water points; animal treatment etc.,4 sessions,280,3000,2,f,t,f,f,f,t,t,t,2001
5,HIRAAN,BELET WEYNE,DHAYWABAR,CESVI,FLOOD,Family share latrines,30 Latrines,120,9000,2,f,f,f,f,f,f,f,t,2001
5,HIRAAN,BELET WEYNE,BUULO YAKUB,CESVI,FLOOD,Family share latrines,70  Latrines,280,21000,2,f,f,f,f,f,f,f,t,2001
8,HIRAAN,BELET WEYNE,QOQANE,SCI,FLOOD,Training women group during child feeding and IYCF practices,2,33,1650,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,QARSONE,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,110,1500,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,LAFOLE,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,90,1500,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,DHARIYOW,SCI,FLOOD,Training women group during child feeding and IYCF practices,1,35,1750,4,f,f,t,f,f,f,f,f,2001
8,HIRAAN,BELET WEYNE,BULOKAHIN,SCI,FLOOD,Training women group during child feeding and IYCF practices,2,45,1500,4,f,f,t,f,f,f,f,f,2001
40,GEDO,CEEL WAAQ,ELWAK TOWN,CWW,DROUGHT,Self Help Groups,3,30,13500,4,f,f,f,f,f,t,t,f,2604
41,GEDO,CEEL WAAQ,TUULO GARAS,CWW,DROUGHT,Train WES committees,1,5,620,2,f,t,f,t,f,f,t,f,2604
