Name of Partner,Amendment,Sector/unit of LOA,LoA #,Activity,Detailed Info,Project Code,Duration-from,Duration-To,Territory,Region,District,No HH/beneficiaries,Total LOA amount,Original Amount,Amended amount,CFW/voucher amount,1st instalment $,1st instalment status,2nd instalment $,2nd instalment status,3rd instalment $,3rd instalment status,4th instalment $,4th instalment status,Total all instalments,CPF Output 1,CPF Output 2,CPF Output 3,CPF Output 4,Reports due midterm 1,Report Status  midterm 1,Reports due midterm 2,Report Status  midterm 2,Report final,Report final status,Final Fin,Final report finished status,Days worked on
Mercy Corps,Primary,CFW IV,94,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, Afgoye 45 (800) and 48 days(800), Wenla Wyne 66 days and USD 7/cycle transport 4-week cycle. 10 % trained, no Tools",,15-Sep-14,14-Feb-15,South Central,Middle Shabelle,"Afgoye, Wenla Wyne ","Afgoye   1600,           Wenla Wyne  1000","195,000",0,,"601,510.00",,,,,,,,,0,,,,,,,,,,,,,
SVO,Primary,CFW IV,95,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 45 days and USD 7/cycle transport 4-week cycle. 10 % trained, Tools",,15-Sep-14,14-Feb-15,Puntland,Sool,Taalex,1300,"76,100","11,200.00",,"312,185.00","22,830.00",16-Oct-14,"38,050.00",,"15,220.00",,,,"76,100.00",,,,,,,,,,,,,
VSF Germany,Primary,CFW IV,96,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 48 days and USD 7/cycle transport 4-week cycle. 10 % trained,  Tools",,15-Sep-14,14-Feb-15,Puntland,Mudug,Jariban,1271,"110,047","9,278.00",,"324,370.00","33,014.00",16-Oct-14,"55,024.00",,"22,009.00",,,,"110,047.00",,,,,,,,,,,,,
NCA,Primary,CFW IV,97,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 48 days and USD 7/cycle transport 4-week cycle. 10 % trained,  Tools , Garowe 1300 (45 days), Eyl  450 (48 days), Dangorayo 380 (48 days) ",,15-Sep-14,14-Feb-15,Puntland,Nugal,"Dangorayo, Garowe, Eyl","Garowe 1300,             Eyl  450,            Dangorayo 380","79,553","11,423.00",,"524,013.00","23,866.00",16-Oct-14,"39,776.00",,"15,911.00",,,,"79,553.00",,,,,,,,,,,,,
SRDA (Somali Relief and Development Action),Primary,Agric,90,Inputs distribution (Deyr 2014),"from prevoius beneficiaries,  400 RainfedSorghum 15kg, cowpea 10kg, DAP 100kg. All voucher. 1400 Riverine, Maize 20kg, cowpea 10kg, urea 100kg, DAP 100kg. Irrigation 3 vouchers, All vouchers+. Train 10 lead farmers per village. Biometric registration",,20-Sep-14,20-Mar-15,South Central,Gedo,Luuq,1800,"54,249",,,,"16,275.00",,"27,124.00",,"10,850.00",,,,"54,249.00",,,,,,,,,,,,,
GEWDO (Gedo Women Development Organization),Primary,Agric,91,Inputs distribution (Deyr 2014),"600 Rainfed from prevoius beneficiaries,  Sorghum 15kg, cowpea 10kg, DAP 100kg. All voucher. 2100 Riverine, Maize 20kg, cowpea 10kg, urea 200kg, DAP 100kg. Irrigation 3 vouchers, All vouchers+. Train 10 lead farmers per village. Biometric registration",,20-Sep-14,20-Mar-15,South Central,Gedo,Dollow,2700,"59,222",,,,"17,767.00",,"29,611.00",,"11,844.00",,,,"59,222.00",,,,,,,,,,,,,
DFCS,Primary,Agric,79,"Fodder production, marketing support through training on rural commerialzation, fodder harvesting and Storage ","200 beneficiaries supported on training on marketing, harvesting and storage, mangeemnt of store ",,1-Nov-14,31-Jan-15,,Gedo,Dollow,200,"9,200",,,,"2,763.00",,"4,605.00",,"1,842.00",,,,"9,210.00",,,,,,,,,,,,,
Puntland Ministry of Agriculture and Irrigation,Primary,Agric,84,,"Strengthen the capacity of extension service of the MoA through supervision of training of FFS on adoption and application of the FFS concept ,methodologies & formulatio of key prioritization documents.Outputs-30 participants(25 lead farmers,5 extensionists from MoA ,to receive 60 days session training on FFS Concept& methodology,GAP,IPPM, & establishment of demo /training plots.-Prg prioritisation proposal document with 4 flagship projects produced.-2 MoAl staff strengthened in locust surveillance",,1-Nov-14,31 Apr 2015,Puntland,,,,"100,100",,,,"30,030.00",,"25,025.00",,"25,025.00",,"20,020.00",,"100,100.00",,,,,,,,,,,,,
Centre for Research & Intergrated Development (CERID),Primary,Agric,98,"Agriculture-Support to crop pest surveillance Management in Dollow,Gedo","20 Lead farmers,10 youth mobilized & trained on crop pest & disease mgt,survellaince. Pest Surveillance sys in 10 farming in Dolow distributed & installed & resulting data. Crop pest & disease scouting carried ",,1-Nov-14,30-Nov-14,South Central,Gedo,Dollow,30,"63,280",,,,"18,984.00",,"15,820.00",,"15,820.00",,"12,656.00",,"63,280.00",,,,,,,,,,,,,
Ministry of Agriculture,Primary,Agric,107,"Capacity Development for the MoA,L,F ","Strategic documentas prepared to highlight legal & regulatory instruments,key  policies on prdctn,infrastructure,cap building& quality assurance in Agric,Livestock & Fisheries sectors.-est  coodination mechanisms with local stakeholders.- Est technical working groups",,1-Nov-14,30-Apr-15,Jubaland,,,,"55,000",,,,"16,500.00",,"13,750.00",,"13,750.00",,"11,000.00",,"55,000.00",,,,,,,,,,,,,
Ministry of Agriculture,Primary,agric,101,"Supervision of the production,processing,grading,labeling & storing of maize grains produced by 10 cooperatives involved in local procurenent initiative with the aim for purchase by the WFP","500 farmers of 10 farmer cooperatives in Afgoi,Awlegde supported in GAP,IPPM,supported in prdctn,storage & ",,4-Nov-14,3-Nov-15,,SC,Afgoye&Awledge,,,"169,447.00",,,"50,834.00",,"42,362.00",,"42,362.00",,"33,889.00",,"169,447.00",,,,,,,,,,,,,
"Ministry of Livestock,Forestry & Range(MoLFR) of Federal Government (FGS) of Somalia (Mogadishu)",Primary,Livestock,69,"Supervision of Mass Peste des Petits Ruminants & Sheep & Goat Pox(PPR&SGP) vaccination in Banadir, Gedo,Middle Juba,Lower Juba,Bay,Bakool,Galgaduud,Middle Shabekke,Hiran,Lower Shabelle&South Mudug ","Capacity development for Monitoring & Supervision on community sensitization& awareness campaign .vaccinate 8 Million sheep &goat in 11 regions,monitor & supervise 4075 pre vaccination serum samples (50-100 samples per district",,15-Nov-14,15-Feb-15,South Central,Mogadishu,,,"35,980.00",,,,"10,794.00",2nd dec 2014,"17,990.00",,"7,196.00",,,,"35,980.00",,,,,,,,,,,,,
El Barde Primary Health Care Organization (EPHCO),Primary,FSNAU,99,Nutritionsurvey_FSNAU,"Est extent & severity of acute malnutrition in pastrol bakool are of southwest som,survey findings &improve capacity of local participants in nutrition assessment. Act:appoint 6 survey teams .(athropometric measurements of AGE,WEIGHT,HEIGHT & MID UPPER ARM CIRCUMFERENCE-MUAC at least 600 children bte 6-59 months.MUAC fot at least 260 women aged 15-49 ,260 filled up hh questionnaires from data set of 770 hhs, 35 filled up supervisors forms & epiintfo software submitted",,15-Nov-14,10-Jan-15,,SC,Bakool,checl loa,"18,320",,,,"3,664.00",,"7,328.00",,"7,328.00",,,,"18,320.00",,,,,,,,,,,,,
"Ministry of Environment,Wildlife and Tourism(MoEWT)",Primary,CFW,112,Technical supervision of partner NGOs implementing cash for work activities in Puntland,,,15-Nov-14,4/30/15,,,,,,"24,950.00",,,"7,485.00",,"12,475.00",,"4,990.00",,,,"24,950.00",,,,,,,,,,,,,
Puntland Livestock Professional Association(PULPA),Primary,LIVESTOCK,89,Training of Communuty Animal Health Workers(CAHWS) on disease management in Iskushuban District of Puntland,"18 cahws, 18 veterinary kits to be distributef to cahws",,9-Dec-14,5-May-15,Puntland,,Iskushuban,18,"35,475",,,,"10,642.00",,"8,869.00",,"8,869.00",,"7,095.00",,"35,475.00",,,,,,,,,,,,,
ICDA,Primary,Agric,118,Inputs Distribution ,,OSRO/SOM/112/WBK,40813,40903,South Central,Lower Shabelle,Marka,3500,38350,,,,11505,paid,19175,24-Feb-12,7670,,,,"38,350.00",,,,,,,,,,,,,
SOWELPA,Primary,LIVESTOCK,111,"Collection, insepection, treatment, vaccaiton, ear tagging and quarantine of female prodcutive goats from FAO animal supplier and handovering to FAO animal distibutior for final beneficiaries distribution•À_•À_•À_ ",,,12th Nov 2014,12/25/14,South Central,Gedo,Dollow,6400 animals,"35,540",,,,"10,662.00",,"24,878.00",,,,,,"35,540.00",,,,,,,,,,,,,
Darul Hikmah University,Primary,Fisheries,104,"Training in Navigation, Safety and on-board fish handling for fishing boat Skippers in Mogadishu•À_•À_•À_","Devise adult-training programme in Navigation, Sea Safety and on-board fish handling for 1 batch of 30 nominated fishing vessel skippers from Mogadishu area.Skippers (30) of fishing boats trained in navigation, safety and on-board fish handling over six days.",,17th Nov 2014,31st Jan 2015,,Mog,Mog,30,"12,760",,,,"3,828.00",,"6,380.00",,"2,552.00",,,,"12,760.00",,,,,,,,,,,,,
RAAS,Primary,,103,CFW,,,7th Nov 2014,6th Apr 2015,,SC,Garbaharey,1300,"49,400","49,400.00",,"227,520.00","14,820.00",,"24,700.00",,"9,880.00",,,,"49,400.00",,,,,,,,,,,,,
ARDO,Primary,cfW IV,105,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 40 days  and USD 7/cycle transport 4-week cycle. - A total of USD 87 520 provided to 500  HHs (equivalent to 3 000CFW beneficiaries) through the MV including payments for hand tools and transport to MV payment locations as applicable. ",,7th Nov 2014,6th Apr 2015,South Central,Bakool,Xudur,500,"42,550",,,"87,520.00",12765,,21275,,8510,,,,"42,550.00",,,,,,,,,,,,,
CANDLELIGHT,Primary,,106,CFW,"SC, USD 4/d, SL/PL/Galgadud, USD 5/d, 40 days  and USD 7/cycle transport 4-week cycle.- A total of USD 279 520 provided to 1 300  HHs (equivalent to 7 800 CFW beneficiaries) through the MV including payments for hand tools and transport to MV payment locations as applicable. ",,7th Nov 2014,6th Apr 2015,Puntland,Sanaag,Ceerigavo and Ceelafweyn  ,1300,"145,515",,,"279,520.00","43,654.00",,"72,758.00",,"29,103.00",,,,"145,515.00",,,,,,,,,,,,,
CRD,Primary,Livestock/D,15,Conflict Analysis,,OSRO/SOM/007/UK,DRAFT,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
University of Florence - Italy,Primary,Agric,58,Genomic characterization of somtux maize variety,,OSRO/SOM/005/EC,,,All Somalia,,,,,,,,"24,174.00",,"40,290.00",,"16,116.00",29-Aug-13,,,"80,580.00",,,,,,,,,,,,,
,Primary,CFW,84,,,OSRO/SOM/XXX/EC,,,,,,,,,,"308,498",,,,,,,,,"14,990.00",,,,,,,,,,,,,
,Primary,,,,,OSRO/SOM/XXX/USA,,,,,,,,,,"296,070",,,,,,,,,"14,990.00",,,,,,,,,,,,,
,Primary,,,,,OSRO/SOM/XXX/AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,,,,OSRO/SOM/112/WBK,,,,,,,,,,"293,810",,,,,,,,,"14,990.00",,,,,,,,,,,,,
,Primary,,,,,OSRO/SOM/112/WBK,,,,,,,,,,"318,634",,,,,,,,,"14,990.00",,,,,,,,,,,,,
,Primary,,,,,OSRO/SOM/XXX/EC,,,,,,,,,,"330,946",,,,,,,,,"14,990.00",,,,,,,,,,,,,
,Primary,,,,,OSRO/SOM/109/AUL,,,,,,,,,,"65,625",,,,,,,,,"22,000.00",,,,,,,,,,,,,
CEDA,Amendment 1,Agric,94,Tranport of Sorghum ,,OSRO/SOM/112/WBK,,,,,,,,,,"65,625",,,,,,,5655,8-Nov-12,"54,455.00",,,,,,,,,,,,,
GREDO,Primary,,,,,OSRO/SOM/109/AUL,,,,,,,,,,"65,625",,,,,,,,,"22,000.00",,,,,,,,,,,,,
GREDO,Amendment 1,Agric,91,Tranport of Sorghum ,,OSRO/SOM/201/MUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,,,,OSRO/SOM/109/AUL,,,,,,,,,,"65,625",,,,,,,,,"16,500.00",,,,,,,,,,,,,
SARD,Amendment 1,Agric,92,Tranport of Sorghum ,,OSRO/SOM/112/WBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,,,,OSRO/SOM/109/AUL,,,,,,,,,,"65,625",,,,,,,,,"22,000.00",,,,,,,,,,,,,
SITE,Primary,,,,,OSRO/SOM/109/AUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITE,Amendment 1,cfw,97,,,OSRO/SOM/121/EC,,,South Central,,,,,,"9,353.00","65,625",,,,,,,,,,,,,,,,,,,,,,
,Primary,,,,,OSRO/SOM/109/AUL,,,,,,,,,,"65,635",,,,,,,,,"22,000.00",,,,,,,,,,,,,
Chana started here,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min of Fisheires,Primary,fisheries,99,Monitoring of the ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSF Germany,Primary,,115,,,,,,South Central,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
SOWELPA,Amendment 1,Livestock/Emergency,122,Watertank ,,OSRO/SOM/113/UK,,30-May-12,South Central,"Gedo, Middle Juba, Lower Juba, Bay",All districts,10000 HH              96 water tanks,,,"28,900",,"8,670.00", paid ,"14,450.00",23-Apr-12,"5,780.00",,,,"28,900.00",,,,,30-Dec-11,,,,29-Feb-12,,,,
SIQLE,Amendment 1,CFW,134,,,,,,South Central,Bakool,"Ceel Barde
Rab Dhuure
Waajid
",,"49,808.00","43,588.00","6,220.00","588,168.00","8,718.00", paid ,"15,564.00",paid,"15,564.00",paid,"9,962.00",final payment reduce 15%        USD 2490.80,"49,808.00",,,,,,,,,,,,,
SITE,Amendment 1,CFW,135,,,,,,South Central,Bakool,"Tayeeglow, Xudur",,"46,485.00","41,410.00","5,075.00","700,704.00","8,282.00", paid ,"14,453.00",25-Apr-12,"14,453.00",22-Aug-12,"9,297.00",22-Nov-12,"46,485.00",,,,,,,,,,,,,
CEDA,Amendment 1,CFW,136,,,,,,South Central,Bay,"Diinsor 
Qansax Dheere 
",,"86,814.00","75,094.00","11,720.00","951,480.00","15,019.00", paid ,"28,188.00",24-Apr-12,"25,924.00",10-Aug-12,"17,683.00",17678  22/11/2012,"86,814.00",,,,,,,,,,,,,
BWDN,Amendment 1,CFW,137,,,,,,South Central,Bay,Baydhaba/ Bardaale,,"59,950.00","55,350.00","4,600.00","894,042.00","11,070.00", paid ,"18,445.00",28-Aug-12,"18,445.00",12-Oct-12,"11,990.00",11-Apr-13,"59,950.00",,,,,,,,,,,,,
SWISSO-KALMO,Amendment 1,CFW,138,,,,,,South Central,Bay,Baydhaba/Bardaale,,"45,350.00","36,920.00","8,430.00","894,024.00","7,384.00",,,paid,"17,820.00",5-Oct-12,"9,070.00",,"34,274.00",,,,,,,,,,,,,
SARD,Amendment 1,CFW,139,,,,,,South Central,Bay,Burhakaba,,"57,781.00","48,031.00","9,750.00","689,040.00","9,606.00", paid ,"18,310.00",,"18,309.00",,"11,556.00",27-Aug-12,"57,781.00",,,,,,,,,,,,,
SADO,Amendment 1,CFW,140,,,,,,South Central,Gedo,Baardheere,,,,,"487,080.00","8,668.00",,"15,039.00",25-Apr-12,"14,225.00",,"9,483.00",USD 7714  29/5/2013,"47,415.00",,,,,15-Jan-12,,15-Feb-12,,30-Jun-12,,,,
NAPAD,Amendment 1,CFW,141,,,,,,South Central,Gedo,"Belet Xaawo 734
Garbahaarey/Buur Dhuubo 1697
Luuq 180
total 2611 hh","Belet Xaawo 734
Garbahaarey/Buur Dhuubo 1697
Luuq 180                  total 2611 hh
","76,142.00","65,631.00","10,511.00",15228,"15,228.00",24-Apr-12,"22,843.00",13-Aug-12,"22,843.00",22-Aug-12,"15,228.00",USD 14605 6/3/2013,"76,142.00",,,,,15-Jan-12,,15-Feb-12,,30-Jun-12,,,,
HATI,Amendment 1,CFW,142,,,,,,South Central,Hiraan,Belet Weyne/Mataban,,"36,035.00","28,350.00","7,685.00","220,752.00","5,670.00", paid ,"12,348.00",22-Nov-12,"10,810.00",30-Nov-12,"7,207.00",10-Apr-13,"36,035.00",,,,,,,,,,,,,
DDRO,Amendment 1,CFW,143,,,,,,South Central,Hiraan,"Bulo Burte, Maxaas",,"36,825.00","31,375.00","5,450.00","215,136.00",,,,paid,"13,772.00",6-Mar-13,"7,365.00",6-Mar-13,"21,137.00",,,,,,,,,,,,,
JCC,Amendment 1,CFW,144,,,,,,South Central,Middle Juba,"Bu'aale
Jilib 
Saakow/Salagle
",,,"39,847.00","6,300.00","684,288.00","7,969.00", paid ,"14,475.00",paid,"14,474.00",3-Apr-13,"9,229.00",3-May-13,"46,147.00",,,,,,,,,,,,,
ADA,Amendment 1,CFW,145,,,,,,South Central,Middle Juba,"Afmadow/Xagar
Badhaadhe
Jamaame
Kismaayo
",,"50,266.00","43,891.00","6,375.00","688,176.00","8,778.00", paid ,"15,718.00",27-Apr-12,"15,717.00",13-Jul-12,"10,053.00",30-Oct-12,"50,266.00",,,,,,,,,,,,,
COMCARE,Amendment 1,CFW,146,,,,,,South Central,Middle Shabelle,"Adan yabaal, Baclad/Warsheikh, Cadale ",,"61,110.00",,,"566,568.00","9,780.00",,"19,554.00",paid,"19,554.00",13-Jul-12,"12,222.00",11-Apr-13,"61,110.00",,,,,,,,,,,,,
WOCCA,Amendment 1,CFW,147,,,,,,South Central,Middle Shabelle,"Jowhar, Mahaday",,"61,350.00",,,"942,408.00","10,089.00",,"19,495.00",24-Apr-12,"19,496.00",22-Aug-12,"12,270.00",USD 9641  18/03/2012,"61,350.00",,,,,,,,,,,,,
SOADO,Amendment 1,CFW,148,,,,,,South Central,Middle Shabelle,"Jowhar, Mahaday",,"64,045.00","57,730.00","6,315.00","942,408.00","11,546.00", paid ,"19,845.00",24-Apr-12,"19,845.00",13-Jul-12,"12,809.00",27-Aug-12,"64,045.00",,,,,,,,,,,,,
AGROSPHERE,Amendment 1,CFW,149,,,,,,South Central,Lower Shabelle,Afgoye/Aw Dheegle,,"72,343.00","63,118.00","9,225.00","458,568.00","50,549.00",,,,"50,494.00",paid,"21,849.00",17-Aug-12,"72,343.00",,,,,,,,,,,,,
SDRO,Amendment 1,CFW,150,,,,,,South Central,Lower Shabelle,Sablaale           Baraawe   Kurtunwaarey,,"40,332.00","35,857.00","4,475.00","415,800.00","7,171.00", paid ,"12,547.00",24-Apr-12,"12,548.00",12-Jun-12,"8,066.00",,"40,332.00",,,,,,,,,,,,,
SAREDO,Amendment 1,CFW,151,,,,,,South Central,Lower Shabelle,Marka,,"86,460.00","74,210.00","12,250.00","1,064,664.00",,,,,,,"27,092.00",15-May-13,"27,092.00",,,,,,,,,,,,,
MURDO,Amendment 1,CFW,152,,,,,,South Central,Lower Shabelle,Qoryooley,,"46,288.00","39,648.00","6,640.00","676,296.00","7,930.00",,"14,550.00",24-Apr-12,"14,550.00",13-Jun-12,"9,258.00",22-May-13,"46,288.00",,,,,,,,,,,,,
Himilo Foundation,Amendment 1,CFW,153,,,,,,South Central,Lower Shabelle,Wanla Weyne,,"96,260.00","81,460.00","14,800.00","983,880.00","16,292.00", paid ,"24,438.00",paid,"36,278.00",24-Apr-12,"19,252.00",,"96,260.00",,,,,,,,,,,,,
KWVA (moved to 12/2012),Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,160,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,161,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"MOALFR, TFG",Primary,,11,Public Health ,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
SEUCO,Amendment 1,agric,13,,,,,,South Central,,,,,"69,990.00","1,085.00",,,,,,"19,042.00",5-Jul-12,"19,043.00",1-Nov-12,"70,985.00",,,,,,,,,,,,,
BENALPA,Amendment 1,Livestock/Emergency,16,FMT,,,,,South Central,Benadir,All districts,,,,"4,500.00",,,,,,"35,932.00",,,,,,,,,,,,,,,,,
CERELPA,Amendment 1,Livestock/Emergency,17,,,,,,South Central,"Hiraan, M Shabelle, S Mudug, Gagalduud ",All districts,,,,"9,000.00",,,,,,"153,190.00",,,,,,,,,,,,,,,,,
SOWELPA,Amendment 1,Livestock/Emergency,18,,,,,,South Central,"Gedo, Bay, Bakool, Lshabelle, M&L Juba",All districts,,,,"9,000.00",,,,,,"153,190.00",,,,,,,,,,,,,,,,,
Fisheries training (tendering),Primary,fisheries,21,Fisheries training ,,draft,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Academy for Peace,Primary,Livestock/D,37,Conflict awareness training for SEED progr partners ,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
SITE,Amendment 1,Agric,42,,,,,,South Central,Bakool,Tayeeglow,,,,,,,,,,"11,302.00","USD11300, 15 Nov 2012",,,"35,510.00",,,,,,,,,,,,,
SWISSO-KALMO,Amendment 1,Agric,45,,,,,,South Central,Bay,Baydhaba/Bardaale,,,,,,,,,,"8,478.00",31-Oct-12,,,"35,238.00",,,,,,,,,,,,,
CEDA,Amendment 1,Agric,48,,,,,,South Central,,,,,,,,,,"24,338.00",23-Aug-12,"24,338.00",31-Oct-12,,,"67,555.00",,,,,,,,,,,,,
ADA,Amendment 1,Agric,50,,,,,,South Central,Gedo,Luuq,,,,,,,,,,"8,087.00",31-Oct-12,,,"34,435.00",,,,,,,,,,,,,
HATI,Amendment 1,Agric,51,,,,,,South Central,Hiraan,Belet Weyne/Mataban,,,,,,,,"14,502.00",25-Sep-12,"14,501.00",25-Apr-13,,,"39,638.00",,,,,,,,,,,,,
GEELO,Amendment 1,Agric,52,,,,,,South Central,Hiraan,Bulo Burto,,,,,,,,,,"8,570.00",11-Oct-12,,,"32,050.00",,,,,,,,,,,,,
SOADO,Amendment 1,agric,53,,,,,,South Central,Hiraan,Jalalaqsi,,,,,,,,,,"9,826.00",,,,"34,210.00",,,,,,,,,,,,,
JCC,Amendment 1,Agric,55,,,,,,South Central,Middle Juba,Jilib,,,,,,,,"18,755.00",paid,"6,393.00",7-Jun-13,,,"36,401.00",,,,,,,,,,,,,
SADO,Amendment 1,Agric,56,,,,,,South Central,Middle Juba,Saakow/Salagle,,,,,,,,,,"9,826.00",,,,"39,258.00",,,,,,,,,,,,,
AGROSPHERE,Amendment 1,Agric,58,,,,,,South Central,Lower Juba,Jamaame,,,,,,,,,,"18,228.00",,,,"53,936.00",,,,,,,,,,,,,
SAREDO,Amendment 1,Agric,59,,,,,,South Central,Lower Juba,Kismaayo,,,,,,,,,,"6,307.00",8-Nov-12,,,"34,491.00",,,,,,,,,,,,,
,Primary,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENALPA,Amendment 1,Livestock/Emergency,87,75 post vacc serum,,OSRO/SOM/201/MUL;BABY 9,,,South Central,,,,,,,,,,,,"7,148.00",9-Nov-12,,,"33,340.00",,,,,,,,,,,,,
SOWELPA,Amendment 1,Livestock/Emergency,88,3000 post vacc serum,,OSRO/SOM/201/MUL;BABY 9,,,South Central,,,,,,,,,,,,"75,200.00",19-Nov-12,,,"364,000.00",,,,,,,,,,,,,
CERELPA,Amendment 1,Livestock/Emergency,89,3000 post vacc serum,,OSRO/SOM/201/MUL;BABY 9,,,South Central,"Hiraan, M Shabelle, S Mudug, Gagalduud ",All districts,,,,,,,,,,"74,600.00",,,,"361,000.00",,,,,,,,,,,,,
,Primary,,94,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
World Vision,Amendment 1,CFW IIa,95,,,OSRO/SOM/124/USA,,30-Jun-13,Somaliland,Somaliland,"Togdheer, Burco",1400,,,,,,,,,,,,,,,,,,,,,,,,,,
Candle Light Somalia,Amendment 1,CFW IIa,96,,,OSRO/SOM/124/USA,,30-Jun-13,Puntland,"Puntland, Sanaag",Ceel Afweyn Ceerigaabo,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,Amendment 1,CFW IIa,97,,,OSRO/SOM/124/USA,,31-Aug-13,Puntland,"Puntland, Sanaag","Laasqoray, Badhan ",,,,,,,,,,,,,,,,,,,,,,,,,,,
SVO,Amendment 1,CFW IIa,98,,,OSRO/SOM/124/USA,,30-Jun-13,Puntland,"Puntland, Sool",Taleex,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,99,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,102,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,105,,,,,,,,,,,,,,,,,,,,,,0,,,,,,                                                                                                                                                                                   ,,,,,,,
,Primary,,106,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,107,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,108,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
AGROSPHERE,Amendment 1,CFW IIa,109,,CANCELLED ,OSRO/SOM/124/USA,,31-Aug-13,South Central,Lower Shabelle,Afgoye,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,110,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
WARDI,Amendment 1,CFW IIa,111,,,OSRO/SOM/124/USA,,30-Jun-13,South Central,Bakool,Tayeeglow,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREDO,Amendment 1,CFW IIa,112,,,OSRO/SOM/124/USA,,30-Jun-13,South Central,"Bay, Bakool","Waajid, Bardaale",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,,113,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,115,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,116,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
COOPI,Amendment 1,Agric,117,inputs distribution  & Operational Trials of Sorghum & Maize,,,,,South Central,"Bay, Gedo, Middle Juba","Diinsoor, Quansax Dheere, Belet Xaawo, Dollow, Garbaharray, Luuq, Buuale, Saakow","Trial 90 HH,         inputs 25,010 HH",,,,,,,,,,,,,,,,,,,,,,,,,,
COOPI,Amendment 2,Agric,117,inputs distribution  & Operational Trials of Sorghum & Maize,,,,,South Central,"Bay, Gedo, Middle Juba",,,"86,960.00","78,260.00","8,700.00",,,,"2,610.00",17-Dec-12,"30,436.00",,"30,436.00",,"86,960.00",,,,,,,,,,,,,
Fisheries training (tendering),Primary,fisheries,118,,,,,,South Central,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Farm Concern International,Amendment 1,Agric,120,including Training of RAAS and data analysis (own data and RAAS's data from  Dollow and Belet Wyne),WE should hols a meeting to verify what we get what we paid for ?,,,,South Central,South-Central,South-Central,,"259,110.00",,,,,,"100,653.00",during my break,"51,822.00",4-Mar-14,"51,822.00",USD 43759.6         9/9/2014,"259,110.00",,,,,,,,,,,,,
Action in Semi Arid Lands (ASAL),Amendment 1,Agric,121,Alternative food preparation and cooking for 13 Fos,,,,,Puntland,Puntland,Bossaso,,"107,890.00","98,140.00","9,750.00",,,,,,,, * 5th payment USD 21186 ,22-Apr-14,"107,890.00",,,,,,,,,,,,,
Action in Semi Arid Lands (ASAL),Amendment 2,Agric,121,"animal manure distribution, 2 Pick-ups, 15 hand driven tractors, su-surface dam, 4 solar power wtaer pumps installed ",,,,,Puntland,Puntland,Bossaso,,"136,810.00","107,890.00","28,920.00",,,,,,,, * 6th payment USD 27362 ,USD 26691  19/8/2014,"136,810.00",,,,,,,,,,,,,
AGROCARE,Primary,,122,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,123,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,124,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Primary,,125,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
